Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
41880602,Fleishman Is in Trouble,Taffy Brodesser-Akner,"Brodesser-Akner, Taffy",,"=""0525510877""","=""9780525510871""",3,3.65,Random House,Hardcover,373,2019,2019,,2019/10/31,,,read,,,,1,0
51239966,You Never Forget Your First: A Biography of George Washington,Alexis Coe,"Coe, Alexis",,"=""0735224102""","=""9780735224100""",0,3.75,Viking,Hardcover,261,2020,2020,,2020/02/06,to-read,to-read (#163),to-read,,,,0,0
51159492,The Memory Police,Yōko Ogawa,"Ogawa, Yōko",Stephen    Snyder,"=""0375715339""","=""9780375715334""",0,3.74,Pantheon Books,Paperback,291,2019,1994,,2019/09/13,to-read,to-read (#125),to-read,,,,0,0
51015832,The Herd,Andrea Bartz,"Bartz, Andrea",,"=""1984826360""","=""9781984826367""",0,3.40,Ballantine Books,Hardcover,336,2020,2020,,2020/01/09,to-read,to-read (#142),to-read,,,,0,0
11869272,"Behind the Beautiful Forevers: Life, Death, and Hope in a Mumbai Undercity",Katherine Boo,"Boo, Katherine",,"=""1400067553""","=""9781400067558""",0,3.98,Random House,Hardcover,278,2012,2012,,2020/02/04,to-read,to-read (#162),to-read,,,,0,0
119415,The Naked Mind,Sheldon F. Gottlieb,"Gottlieb, Sheldon F.",,"=""1930536194""","=""9781930536197""",0,3.73,Best Publishing Company,Hardcover,620,2003,2003,,2020/02/03,to-read,to-read (#161),to-read,,,,0,0
45438501,This Particular Happiness: A Childless Love Story,Jackie Shannon Hollis,"Hollis, Jackie Shannon",,"=""""","=""""",3,4.10,Forest Avenue Press,Kindle Edition,294,2019,2019,2020/02/03,2020/01/20,,,read,,,,1,0
23848190,Extreme Ownership: How U.S. Navy SEALs Lead and Win,Jocko Willink,"Willink, Jocko",Leif Babin,"=""1250067057""","=""9781250067050""",0,4.25,St. Martin's Press,Hardcover,320,2015,2015,,2020/02/03,to-read,to-read (#160),to-read,,,,0,0
113934,The Goal: A Process of Ongoing Improvement,Eliyahu M. Goldratt,"Goldratt, Eliyahu M.",Jeff Cox,"=""0884271781""","=""9780884271789""",0,4.08,North River Press,Paperback,384,2004,1984,,2020/02/03,to-read,to-read (#159),to-read,,,,0,0
42171136,Followers,Megan Angelo,"Angelo, Megan",,"=""1525836269""","=""9781525836268""",0,3.62,Graydon House,Hardcover,380,2020,2020,,2020/01/30,to-read,to-read (#158),to-read,,,,0,0
22821728,Vertical Mind: Psychological Approaches for Optimal Rock Climbing,Don McGrath,"McGrath, Don",Jeff Elison,"=""1892540886""","=""9781892540881""",0,3.98,Sharp End Publishing,Paperback,274,2014,2014,,2020/01/27,to-read,to-read (#157),to-read,,,,0,0
177333,Fierce Attachments,Vivian Gornick,"Gornick, Vivian",Jonathan Lethem,"=""0374529965""","=""9780374529963""",0,4.06,"Farrar, Straus and Giroux",Paperback,224,2005,1987,,2020/01/25,to-read,to-read (#156),to-read,,,,0,0
22237181,Encounters at the Heart of the World: A History of the Mandan People,Elizabeth A. Fenn,"Fenn, Elizabeth A.",,"=""0374535116""","=""9780374535117""",0,3.97,Hill and Wang,Paperback,480,2015,2014,,2020/01/25,to-read,to-read (#155),to-read,,,,0,0
46136224,Uncanny Valley,Anna Wiener,"Wiener, Anna",,"=""""","=""""",5,3.65,MCD,Kindle Edition,290,2020,2020,2020/01/20,2020/01/15,,,read,,,,1,0
22929741,The Argonauts: A Memoir,Maggie Nelson,"Nelson, Maggie",,"=""1555977073""","=""9781555977078""",0,4.02,Graywolf Press,Hardcover,160,2015,2015,,2020/01/12,to-read,to-read (#154),to-read,,,,0,0
